IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
PGD;;MAPT;;;VPS4B;NID1;;;;;;;DDX11;
PGK1;;MAPT-AS1;;;CCDC176;RPF1;;;;;;;DDX3X;
SERPINI1;;MARK1;;;AREL1;CTBS;;;;;;;DEAF1;
PIK3CD;;MARK2;;;RBM25;GBP1;;;;;;;DENND5A;
PIK3R1;;MAST3;;;AFTPH;RAB7L1;;;;;;;DGUOK;
PI4KA;;MBD1;;;CNRIP1;HMGCL;;;;;;;DHCR7;
PIN1;;MBD3;;;BCL11A;ID3;;;;;;;DHDDS;
PKD1;;MBD4;;;CNNM1;APH1A;;;;;;;DHFR;
PLA2G4A;;MBD5;;;WDR11;PRDX1;;;;;;;DHTKD1;
PLAGL1;;MBD6;;;GOT1;TMED5;;;;;;;DHX16;
PLK1;;MBOAT7;;;LRP11;CNN3;;;;;;;DIAPH1;
PLS1;;MCM4;;;PCMT1;F3;;;;;;;DIBD1;
PLXNA1;;MCM6;;;EGR1;ABCD3;;;;;;;DIS3L2;
PLXNA2;;MCPH1;;;NR2C1;PRDX6;;;;;;;DISP1;
PNOC;;MDGA2;;;ARL1;MESDC2;;;;;;;DLD;
PMM1;;MECP2;;;NFYB;RPS25;;;;;;;DLG3;
PMS1;;MED12L;;;CHRNA2;HMGN3;;;;;;;DLL1;
SEPT5;;MED13;;;BAI2;UBE3D;;;;;;;DMD;
POLD2;;MED13L;;;HCRTR1;PHF3;;;;;;;DMPK;
POLG;;MED23;;;HPCA;FBXO30;;;;;;;DMXL2;
POLR2B;;MEF2C;;;GTDC1;TNFAIP3;;;;;;;DNA2;
POLR2E;;MEGF10;;;UBL3;RAB32;;;;;;;DNAJC12;
POLR2H;;MEGF11;;;KIAA1045;FBXL5;;;;;;;DNM1;
POR;;MEIS2;;;KIAA1549;MED28;;;;;;;DNM1L;
POU6F1;;MEMO1;;;CISD1;ZNF430;;;;;;;DNMT3A;
PPEF1;;MET;;;EGR2;VAMP8;;;;;;;DOCK6;
CTSA;;METTL26;;;RNF11;RPN2;;;;;;;DOCK7;
PPL;;MFRP;;;NECAB1;TGIF2;;;;;;;DOCK8;
PPM1B;;MIB1;;;GIPC1;CYP20A1;;;;;;;DOLK;
PPM1G;;MINK1;;;SPRYD7;PHF19;;;;;;;DPAGT1;
PPP1CA;;MIR137;;;ZC3H13;NEK6;;;;;;;DPM1;
PPP1CB;;MKX;;;ITIH5;HSDL2;;;;;;;DPM2;
PPP1R7;;MLANA;;;KBTBD4;CSF3R;;;;;;;DPYD;
PPP2R1A;;MRTFB;;;NDUFAF4;FCF1;;;;;;;DST;
PPP2R2A;;MSANTD2;;;RAB9B;NEK9;;;;;;;DUOX2;
PPP2R2C;;MSL3;;;METTL8;NPC2;;;;;;;DUOXA2;
PPP2R4;;MSR1;;;SLC36A1;FLVCR2;;;;;;;DUSP6;
PPP3CA;;MSX2;;;ACSL3;ALDH6A1;;;;;;;DYRK1A;
PPP3CB;;MTF1;;;SLC12A5;RHOQ;;;;;;;EARS2;
PPP3R1;;MTHFR;;;VAPB;GPR75;;;;;;;EBP;
PPP3R2;;MTOR;;;TOX2;OGFRL1;;;;;;;ECHS1;
PPP5C;;MUC12;;;ARFGEF2;IFIT3;;;;;;;EDC3;
PREP;;MUC4;;;EDN3;GPAM;;;;;;;EDN1;
PRKAA2;;MYH10;;;CSE1L;PPP1R3C;;;;;;;EDN3;
PRKAB1;;MYH4;;;RAB22A;PYROXD2;;;;;;;EDNRB;
PRKAG1;;MYH9;;;PMEPA1;MXI1;;;;;;;EED;
PRKAR1B;;MYLK;;;IQSEC2;HELLS;;;;;;;EEF1A2;
PRKAR2B;;MYO16;;;TBCC;GNA13;;;;;;;EFEMP2;
PRKCA;;MYO1E;;;MAD2L1BP;NUP43;;;;;;;EFNA1;
PRKCB;;MYO5A;;;KLHDC3;PLEKHG1;;;;;;;EFNB1;
PRKCE;;MYO5C;;;NRN1;CXorf21;;;;;;;EGR2;
PRKCG;;MYO9B;;;ATXN1;CYSTM1;;;;;;;EHHADH;
PRKCZ;;MYOCD;;;LRRC29;GORAB;;;;;;;EIF2AK2;
MAPK11;;MYT1L;;;GOT2;ELF1;;;;;;;EIF2B1;
MAPK10;;NAA15;;;RAP2A;EXOSC8;;;;;;;EIF2B2;
MAP2K1;;NAALADL2;;;ATP5S;TGFBI;;;;;;;EIF2B3;
MAP2K2;;NACC1;;;INSIG2;SERP1;;;;;;;EIF2B4;
MAP2K5;;NAV2;;;GRIA3;MTERFD3;;;;;;;EIF2B5;
PRPS2;;NAV3;;;RTN2;CLU;;;;;;;EIF2S3;
LGMN;;NBEA;;;EML2;TNFRSF10B;;;;;;;ELAC2;
PRSS3;;NCAPH2;;;NAPB;SORBS3;;;;;;;ELP2;
KLK7;;NCKAP1;;;TMX4;EPHX2;;;;;;;EMC1;
PSAP;;NCKAP5;;;NRSN2;RDH10;;;;;;;EMD;
PSD;;MNT;;;FLRT3;ABCC11;;;;;;;ENSP00000406581;
PSMA5;;MSRA;;;PCSK2;CAT;;;;;;;EPB41L1;
PSMB3;;MYCBP2;;;MKKS;GJB6;;;;;;;EPCAM;
PSMB5;;NCOA1;;;MRPS26;TMEM156;;;;;;;EPG5;
PSMC3;;NCOR1;;;NCLN;LRIF1;;;;;;;ERCC1;
PTGS1;;NDUFA5;;;NECAB3;ADORA3;;;;;;;ERCC2;
PTGS2;;NEGR1;;;KLC1;POLK;;;;;;;ERCC3;
PTHLH;;NEO1;;;LRFN3;RPL21;;;;;;;ERCC4;
PTH2R;;NEXMIF;;;PRDX5;SASH3;;;;;;;ERCC5;
PTPN1;;NF1;;;ATG14;RBBP6;;;;;;;ERCC6;
PTPN3;;MSNP1AS;;;MAP2K2;RPL5;;;;;;;ERCC6L2;
PTPN4;;NFE2L3;;;PIN1;RPAP2;;;;;;;ERCC8;
PTPRF;;NFIA;;;EMC1;BBS9;;;;;;;ERF;
PTPRK;;NFIB;;;SLC35E1;HERPUD2;;;;;;;ETFA;
PTPRN2;;NFIX;;;UQCR11;ARL4A;;;;;;;ETFB;
PTPRO;;NINL;;;SYNGR3;ACO1;;;;;;;ETFDH;
PTPRR;;NIPA1;;;TUBA4A;CNTFR;;;;;;;ETHE1;
RAD1;;NIPA2;;;PNKD;CALD1;;;;;;;EXOSC3;
PURB;;NIPBL;;;RNF6;PLAU;;;;;;;EXOSC9;
PVALB;;NLGN1;;;GNAI1;SRGN;;;;;;;EXT2;
RAB3A;;NLGN2;;;CASD1;CHST3;;;;;;;EZH2;
RAD23A;;NLGN3;;;GNAZ;P4HA1;;;;;;;EZR;
RAD23B;;NLGN4X;;;MCHR1;ACADS;;;;;;;FAM126A;
RAGE;;NLGN4Y;;;RNF112;HVCN1;;;;;;;FAM149B1;
RANBP2;;NOVA2;;;SPECC1;CDKN2C;;;;;;;FAN1;
RAP1GAP;;NPFFR2;;;PRKRIP1;RASSF8;;;;;;;FAR1;
RARB;;NR1D1;;;VGF;BHLHE41;;;;;;;FARS2;
RASGRF2;;NR2F1;;;LRRC4;SSPN;;;;;;;FARSB;
RBP4;;NR3C2;;;LRRC17;ITPR2;;;;;;;FAT4;
RELB;;NR4A2;;;NDUFA5;PRDX4;;;;;;;FBN1;
RFC2;;NRCAM;;;MTX2;ARHGAP9;;;;;;;FBP1;
RFPL1;;NRP2;;;CHN1;NCKAP1L;;;;;;;FBXL4;
RGS4;;NRXN1;;;SNRPN;PFDN5;;;;;;;FBXO31;
RGS7;;NRXN2;;;TTBK2;ORMDL2;;;;;;;FDX1L;
RGS12;;NRXN3;;;INO80;CDK2;;;;;;;FEZF1;
RNF6;;NSD1;;;FXR2;SARDH;;;;;;;FGF12;
RORB;;NSD2;;;CDKN2D;RAB9A;;;;;;;FGF13;
ROS1;;NSMCE3;;;BCL2L2;NMI;;;;;;;FGF17;
MRPL12;;NTNG1;;;REEP5;MXD4;;;;;;;FGF8;
RPS6KA3;;NTNG2;;;ITFG1;SLC12A4;;;;;;;FGFR1;
RRM2;;NTRK1;;;FGF13;SDC4;;;;;;;FGFR3;
RS1;;NKX2-2;;;DOHH;CDH26;;;;;;;FH;
CLIP1;;NPAS2;;;INS-IGF2;RNF114;;;;;;;FHL1;
RTN1;;NTRK2;;;SYT5;NDP;;;;;;;FKBP14;
RTN2;;NTRK3;;;ECSIT;SERPINB6;;;;;;;FKTN;
RXRB;;NUAK1;;;TOMM40;HIST1H1D;;;;;;;FLAD1;
RYR2;;NUDCD2;;;DPP6;PEX6;;;;;;;FLRT3;
VPS52;;NUP133;;;NSUN5;PRICKLE4;;;;;;;FMN2;
MAPK12;;NUP155;;;USHBP1;RPS10;;;;;;;FMR1;
SATB1;;NXF1;;;TULP4;MOCS1;;;;;;;FOXF1;
SBF1;;NXPH1;;;MAS1;CDKN1A;;;;;;;FOXH1;
ATXN1;;OCRL;;;UNC13A;RREB1;;;;;;;FOXRED1;
SCN1B;;ODF3L2;;;SSBP4;SH3TC1;;;;;;;FRRS1L;
SCN2A;;OFD1;;;SULT4A1;BBS2;;;;;;;FUCA1;
SCN2B;;OPHN1;;;OLFM1;MT1G;;;;;;;FUK;
SCN4B;;OR1C1;;;CAMSAP1;MT2A;;;;;;;FUT8;
SCN8A;;OR2M4;;;NPAS1;ABCC4;;;;;;;FUZ;
SCN10A;;OR2T10;;;LRRC47;SOX21;;;;;;;GABRA1;
CCL1;;OR52M1;;;MPP1;IRF1;;;;;;;GABRA2;
CCL4;;OTUD7A;;;UBE4B;SOX9;;;;;;;GABRA5;
CX3CL1;;OTX1;;;GGT7;MIF4GD;;;;;;;GABRB1;
SDHB;;OXT;;;ARHGEF9;C1orf61;;;;;;;GABRB2;
MAP2K4;;OXTR;;;ATP6V1E1;SLC2A4RG;;;;;;;GABRB3;
SFRS2;;P2RX5;;;GSE1;PSPN;;;;;;;GABRG2;
SFTPD;;P4HA2;;;PRR7;RPL23;;;;;;;GAD1;
SGCG;;PABPC1;;;TRAF3;C3;;;;;;;GALC;
SCG5;;PACS1;;;SLC6A6;TRIP10;;;;;;;GAMT;
SH3GL1;;PACS2;;;KIF3A;VASP;;;;;;;GAN;
SH3GL2;;PAFAH1B2;;;TUBG1;CD93;;;;;;;GAS1;
ST3GAL1;;PAH;;;RAMP2;RBCK1;;;;;;;GATA1;
ST3GAL2;;PAK1;;;NDFIP1;MGME1;;;;;;;GATA6;
ST3GAL3;;PAK2;;;MAP1B;CEP250;;;;;;;GATAD2B;
SKIV2L;;PAPOLG;;;PEX11B;AMOT;;;;;;;GBE1;
SLC1A1;;PARD3B;;;PDHA1;PCID2;;;;;;;GCDH;
SLC1A6;;PATJ;;;ZSCAN5A;HCST;;;;;;;GCH1;
SLC6A1;;PAX5;;;DHX30;STAT5A;;;;;;;GCK;
SLC6A7;;PAX6;;;ARFIP2;EMG1;;;;;;;GCSH;
SLC8A2;;PBX1;;;EFR3A;ELK1;;;;;;;GDF6;
SLC8A1;;PC;;;IMMT;KTN1;;;;;;;GDI1;
SLC9A1;;PCCA;;;PER2;RHOJ;;;;;;;GDNF;
SLCO2A1;;PCCB;;;PRKAA1;FGD3;;;;;;;GFAP;
SLN;;PCDH10;;;RAP1GAP2;MASP1;;;;;;;GFER;
SMARCB1;;PCDH11X;;;LANCL2;ATP13A4;;;;;;;GFM1;
SUMO3;;PCDH15;;;GRSF1;RAP1B;;;;;;;GFM2;
SNAP25;;PCDH19;;;DLG4;TAS2R3;;;;;;;GFPT1;
SNCB;;PCDH9;;;VPS13B;TAS2R4;;;;;;;GJB1;
SNCA;;PCDHA1;;;REEP2;FGFRL1;;;;;;;GLB1;
FSCN1;;PCDHA10;;;HSPA12B;HP1BP3;;;;;;;GLDC;
SNRPA;;PCDHA11;;;SNAP25;EMR2;;;;;;;GLE1;
SNRPA1;;PCDHA12;;;ARHGEF11;METTL16;;;;;;;GLI2;
SNRPB;;PCDHA13;;;SERINC3;FGL2;;;;;;;GLI3;
SNTB2;;PCDHA2;;;SYT4;STEAP4;;;;;;;GLRX5;
SOLH;;PCDHA3;;;FBXO44;MTERF;;;;;;;GLUL;
SORL1;;PCDHA4;;;ATP8A2;RBM48;;;;;;;GLYCTK;
SOX15;;PCDHA5;;;GPR12;ZFP36;;;;;;;GM2A;
UAP1;;PCDHA6;;;CHRM3;PPAT;;;;;;;GMPPA;
SPINK2;;PCDHA7;;;MYH10;A4GALT;;;;;;;GMPPB;
SRF;;PCDHA8;;;MPRIP;TST;;;;;;;GNAI3;
SRM;;PCDHA9;;;TMCC2;RAC2;;;;;;;GNAO1;
SRPK1;;PCDHAC1;;;DCLK1;LIF;;;;;;;GNB1;
SRPR;;PCDHAC2;;;STARD13;MKLN1;;;;;;;GNB5;
SST;;PCM1;;;EPHB2;SMO;;;;;;;GNE;
SSTR2;;PDCD1;;;HSPBP1;IRF5;;;;;;;GNPAT;
STAT4;;PDE1C;;;RTN3;PSMG2;;;;;;;GNPTAB;
STAT6;;PDE3B;;;LARGE;TWSG1;;;;;;;GORAB;
STIM1;;PDK2;;;ACTR3B;WDFY4;;;;;;;GOT2;
STK4;;PDZD8;;;KRAS;CGNL1;;;;;;;GPAA1;
CDKL5;;PEBP4;;;MICAL2;NARG2;;;;;;;GPC3;
STX1A;;PER1;;;TTC9;IVD;;;;;;;GPHN;
STX3;;PER2;;;CAMK1;PALLD;;;;;;;GPR56;
SULT1A1;;PEX7;;;ARL8B;BBOX1;;;;;;;GPT2;
SUOX;;PHF12;;;CHL1;SOX15;;;;;;;GPX4;
SUPT5H;;PHF14;;;SORT1;PLD2;;;;;;;GRIA3;
ABCC8;;PHF2;;;NAPG;CD68;;;;;;;GRID2;
SYT1;;PHF21A;;;ARF3;ATP1B2;;;;;;;GRIK2;
SYT5;;PHF3;;;ROCK2;PUS7L;;;;;;;GRIN2A;
TAC3;;PHF7;;;TIMM17A;SLC44A2;;;;;;;GRIN2B;
TAF4;;PHF8;;;NARS;KLK14;;;;;;;GRIN2D;
TAF5;;PHIP;;;KIAA1468;SIGLEC9;;;;;;;GRM1;
TAF6;;PHRF1;;;CCNH;RIPK3;;;;;;;GRM7;
TAF11;;PIK3CA;;;KCTD1;DAD1;;;;;;;GTF2E2;
TAPBP;;PIK3R2;;;RAB33A;TEP1;;;;;;;GTF2H5;
TARBP1;;PITX1;;;GNL2;QRICH2;;;;;;;GTPBP2;
TCEA2;;PJA1;;;DAGLA;RHBDF2;;;;;;;GTPBP3;
TCEB1;;PLAUR;;;CLOCK;ARHGEF6;;;;;;;GUCY2D;
TCF4;;PLCB1;;;NREP;PHF10;;;;;;;GUSB;
TCF7L2;;PLCD4;;;RFK;STARD8;;;;;;;HACE1;
MLX;;PLN;;;ISCA1;GDPD2;;;;;;;HADH;
TDG;;PLXNA3;;;ADAM19;APOE;;;;;;;HADHA;
TDO2;;PLXNA4;;;RNFT2;APOC1;;;;;;;HADHB;
TEAD4;;PLXNB1;;;SRPK2;GADD45G;;;;;;;HCFC1;
TEF;;PNPLA7;;;SYNCRIP;PLVAP;;;;;;;HCN1;
TERF2;;POGZ;;;MRAP2;BST2;;;;;;;HDAC4;
TESK1;;PHB1;;;GLS2;SLC27A1;;;;;;;HDAC8;
TFCP2;;PIK3CG;;;AGAP2;STK33;;;;;;;HEPACAM;
TFRC;;POLA2;;;BLOC1S1;ARPC1B;;;;;;;HERC1;
TGFB3;;POLR2A;;;B4GALNT1;HELZ2;;;;;;;HESX1;
THBS3;;POLR3A;;;COQ10A;ZNF337;;;;;;;HEXA;
THRB;;POMGNT1;;;EGR4;GMFG;;;;;;;HEXB;
THY1;;POMT1;;;RAB11FIP5;DKC1;;;;;;;HIBCH;
KLF10;;PON1;;;PCNXL2;ZNF331;;;;;;;HIST1H1E;
ICAM5;;POT1;;;KCNK1;SLC7A10;;;;;;;HIVEP2;
NR2E1;;POU3F3;;;TAF5L;POLN;;;;;;;HLCS;
TSPAN7;;PPFIA1;;;EIF4E2;PPIL4;;;;;;;HMGCL;
TNNC2;;PPM1D;;;CAB39;GFAP;;;;;;;HNF1A;
TNFAIP1;;PPP1R1B;;;TMEM127;GINS2;;;;;;;HNF4A;
TNNT2;;PPP1R9B;;;VPS36;NFATC1;;;;;;;HNMT;
TNNT3;;PPP2CA;;;SUCLA2;CAPN7;;;;;;;HNRNPH2;
TOP2B;;PPP2R1B;;;RAPGEF5;PDLIM4;;;;;;;HNRNPU;
TPD52;;PPP2R5D;;;CCM2;RPL27;;;;;;;HPD;
TPI1;;PPP3CA;;;NDUFB5;IL13RA1;;;;;;;HPRT1;
TPM1;;PPP5C;;;SCN2A;PPP1R1B;;;;;;;HRAS;
TPMT;;PREX1;;;KIAA0368;FMO5;;;;;;;HS2ST1;
TRAF5;;PRICKLE1;;;RALGPS1;PRKAB2;;;;;;;HS6ST1;
TRO;;PRICKLE2;;;STXBP1;MCCC2;;;;;;;HSD17B10;
TRPM2;;PRKAR1B;;;GABBR2;VIMP;;;;;;;HSD17B4;
TSC1;;PRKCA;;;GOLGA1;CHSY1;;;;;;;HSPD1;
TSC2;;PRKCB;;;XPA;RHPN2;;;;;;;HTRA2;
TSPYL1;;PRKD1;;;ARPC5L;GCH1;;;;;;;HTT;
TSSC1;;PRKD2;;;RANBP6;LGALS3;;;;;;;HYLS1;
TSTA3;;PRKDC;;;DNAJB5;SPATA6;;;;;;;IARS;
TTF1;;PRKN;;;TMEM8B;SLC6A11;;;;;;;IARS2;
TUBA3C;;PRODH;;;TMEM63B;TRIM5;;;;;;;IBA57;
HIRA;;PRPF39;;;CREBZF;TRIM22;;;;;;;IDH2;
TYRO3;;PRPF8;;;SORL1;PTCD3;;;;;;;IDUA;
TYRP1;;PRR12;;;ARHGAP20;RAMP1;;;;;;;IER3IP1;
UBE2D2;;PRUNE2;;;RTF1;CARD6;;;;;;;IFIH1;
UBP1;;PSD3;;;PARP6;ITGB4;;;;;;;IFT140;
SLC35A2;;PSMD12;;;TMEM62;H3F3B;;;;;;;IFT81;
UGCG;;PTBP2;;;PAK6;HRSP12;;;;;;;IGF2;
UGP2;;PTCHD1;;;SLC44A5;PCBD2;;;;;;;IKBKAP;
UPK3A;;PTCHD1-AS;;;RTCA;RIN2;;;;;;;IKBKG;
UQCRC2;;PTDSS1;;;EPT1;BCAN;;;;;;;IL17RD;
UQCRFS1;;PTEN;;;CGREF1;LPIN3;;;;;;;IMPDH1;
UROD;;PTGS2;;;PREPL;RBM38;;;;;;;INPP5K;
UROS;;PRR14L;;;FBXO11;PPP1R3D;;;;;;;INPPL1;
USH2A;;PSMD11;;;LRPPRC;ALOX5AP;;;;;;;INS;
VIP;;PSMD6;;;ACTR1A;WASF3;;;;;;;INSR;
VIPR1;;PTK7;;;ATAD1;CHI3L1;;;;;;;INTS1;
VIPR2;;PTPN11;;;ZNF365;SLC41A1;;;;;;;IQCB1;
VSNL1;;PTPN4;;;TET1;SPG20;;;;;;;IQSEC2;
EIF4H;;PTPRB;;;CARF;TPT1;;;;;;;IRF2BPL;
WHSC1;;PTPRC;;;OLA1;MORC4;;;;;;;ISCA2;
WNT7A;;PTPRT;;;WDR12;MACROD1;;;;;;;ISPD;
XRCC1;;PXDN;;;ABI2;RARRES3;;;;;;;ITCH;
YY1;;PYHIN1;;;COX17;BTG1;;;;;;;ITGA3;
YWHAG;;QRICH1;;;USP8;LRRIQ1;;;;;;;ITGA7;
ZNF7;;RAB11FIP5;;;SEMA7A;C12orf29;;;;;;;ITGB6;
ZNF8;;RAB2A;;;UBL7;SWAP70;;;;;;;ITPA;
ZNF12;;RAB39B;;;C4orf21;SBF2;;;;;;;IYD;
ZNF26;;RAB43;;;AP1AR;RRAS2;;;;;;;JMJD1C;
ZNF74;;RAC1;;;BBS7;TEX15;;;;;;;KAL1;
ZNF79;;RAD21L1;;;G3BP2;C14orf159;;;;;;;KANK1;
ZNF131;;RAI1;;;FRAS1;ADAM20;;;;;;;KANSL1;
ZNF133;;RALA;;;PPA2;MRO;;;;;;;KAT6A;
ZNF134;;RALGAPB;;;PPP3CA;CD180;;;;;;;KAT6B;
ZBTB16;;RANBP17;;;SLC39A8;WNT2B;;;;;;;KBTBD13;
RNF112;;RAPGEF4;;;GABARAPL1;NOTCH2;;;;;;;KCNA1;
ZNF184;;RASSF5;;;KIF21A;LPIN1;;;;;;;KCNA2;
ZNF202;;RBBP5;;;PRICKLE1;IL6ST;;;;;;;KCNB1;
ZFAND5;;RBFOX1;;;NDUFA9;CDC73;;;;;;;KCNC3;
ZNF232;;RBM27;;;CLSTN3;CRB1;;;;;;;KCNH1;
SLC30A3;;REEP3;;;VAMP1;RPS15A;;;;;;;KCNJ10;
SLC30A4;;RELN;;;PEX5;CABLES1;;;;;;;KCNJ11;
MAP3K12;;RERE;;;DUSP6;DOCK2;;;;;;;KCNJ13;
ZYX;;RFX3;;;RITA1;EMP1;;;;;;;KCNK4;
LUZP1;;RFX4;;;MTMR6;RERG;;;;;;;KCNK9;
PRDM2;;RFX7;;;NABP2;KLRD1;;;;;;;KCNMA1;
USP7;;RGS7;;;C12orf10;C12orf39;;;;;;;KCNN3;
KCNAB1;;RHEB;;;SBNO1;LRP4;;;;;;;KCNQ2;
SLBP;;RIMS1;;;VPS33A;PRPF38A;;;;;;;KCNQ3;
REEP5;;RIMS2;;;MBNL2;DSC2;;;;;;;KCNQ5;
BAT2;;RIMS3;;;NOVA1;RNF138;;;;;;;KCNT1;
BAT5;;RLIM;;;RTN1;DTNA;;;;;;;KCNT2;
AIMP2;;RNF135;;;SYT16;APLNR;;;;;;;KDELR2;
FZD3;;RNF25;;;RAB15;FADS2;;;;;;;KDM5C;
ZNF212;;RNF38;;;LYSMD2;CLDN10;;;;;;;KDM6A;
MLF2;;ROBO2;;;COMMD4;DZIP1;;;;;;;KDM6B;
YEATS4;;RORA;;;HMG20A;CARS2;;;;;;;KIAA0196;
PABPN1;;RORB;;;NTRK3;SLC37A2;;;;;;;KIAA0556;
AP3B2;;RPL10;;;GLYR1;TMED7;;;;;;;KIAA0586;
ANP32A;;RPS6KA2;;;PARN;FAM189A2;;;;;;;KIAA0753;
ZNF239;;RPS6KA3;;;UQCRC2;PSAT1;;;;;;;KIAA1033;
DPF1;;RSRC1;;;ABCC12;HAVCR2;;;;;;;KIAA1109;
MKKS;;SAE1;;;NKD1;SDS;;;;;;;KIAA1279;
NRIP1;;SAMD11;;;KATNB1;TMEM243;;;;;;;KIAA1715;
CHAF1B;;RP11-1407O15.2;;;COPS3;PNPLA8;;;;;;;KIAA2022;
LAGE3;;RUNX1T1;;;GFOD2;HILPDA;;;;;;;KIF11;
SERF1A;;SASH1;;;VPS53;TES;;;;;;;KIF15;
SNN;;SATB1;;;CLTC;NT5E;;;;;;;KIF1A;
BAP1;;SATB2;;;AFG3L2;LCA5;;;;;;;KIF22;
CDC7;;SBF1;;;RNF157;PHF21A;;;;;;;KIF5A;
FZD8;;SCAF1;;;RNF165;PRRG4;;;;;;;KIF7;
MAD1L1;;SCAF4;;;ELAC1;OS9;;;;;;;KIRREL3;
NME5;;SCFD2;;;PMAIP1;NHSL1;;;;;;;KIT;
PIP5K1A;;SCN1A;;;SLC39A3;HEY2;;;;;;;KLHL40;
PIP5K2B;;SCN2A;;;DUS3L;STX11;;;;;;;KLHL41;
SLC25A11;;SCN4A;;;ZFP14;KLHL36;;;;;;;KMT2D;
SPARCL1;;SCN8A;;;HUNK;AGT;;;;;;;KNSTRN;
ULK1;;RAD21;;;SCYL1;GLUL;;;;;;;KRAS;
CMAH;;RHOXF1;;;APP;CEP350;;;;;;;L2HGDH;
STK24;;RIT2;;;AKT1;NPL;;;;;;;LAGE3;
RASAL1;;SCN9A;;;SAE1;FAM129A;;;;;;;LAMA1;
NSMAF;;SCP2;;;FAM71E1;SP110;;;;;;;LAMB1;
NCK2;;SDC2;;;C1orf216;TTLL4;;;;;;;LAMB2;
DYRK2;;SEMA5A;;;PRKACB;ITM2C;;;;;;;LARGE;
CUL3;;SENP1;;;PIGK;TMBIM1;;;;;;;LAS1L;
CUL2;;SERPINE1;;;LMO4;C2orf49;;;;;;;LCA5;
TPST2;;SET;;;PSMA5;ALDH1L2;;;;;;;LGI4;
SORBS2;;SETBP1;;;CELSR2;APPL2;;;;;;;LHX3;
OGT;;RPS10P2-AS1;;;ATP1B1;DRAM1;;;;;;;LHX4;
SEMA7A;;SETD1A;;;TIPRL;KIAA1033;;;;;;;LIAS;
SIP1;;SETD1B;;;MPC2;THSD1;;;;;;;LIFR;
PPFIBP1;;SETD2;;;DCAF6;PHF11;;;;;;;LIG4;
PPFIA4;;SETD5;;;UCK2;EDNRB;;;;;;;LINS;
SLC43A1;;SETDB1;;;ILDR2;LCP1;;;;;;;LIPT1;
CNTNAP1;;SETDB2;;;RGS5;SETDB2;;;;;;;LMAN2L;
ENC1;;SEZ6L2;;;XPR1;TNS3;;;;;;;LMBR1;
NDST2;;SF3B1;;;HMCN1;AOAH;;;;;;;LMBRD1;
KCNAB2;;SGSH;;;ENSA;HUS1;;;;;;;LMNA;
ITGA8;;SGSM3;;;KCNH1;MYO1G;;;;;;;LMOD3;
IKBKAP;;SH3RF1;;;SMYD2;CALCOCO2;;;;;;;LONP1;
GAS7;;SH3RF3;;;SUSD4;RSAD1;;;;;;;LRAT;
DGKZ;;SHANK1;;;FBXO28;MYCBPAP;;;;;;;LRPPRC;
DGKE;;SHANK2;;;SYT2;ACTL6A;;;;;;;LRRK1;
CHST1;;SHANK3;;;CALM2;KCTD3;;;;;;;LTBP4;
CBX4;;SHOX;;;CIAO1;WDR33;;;;;;;LTC4S;
PPFIA3;;SIK1;;;EXOC6B;ABI1;;;;;;;LYRM7;
LMO4;;SIN3A;;;RALB;LRRC8A;;;;;;;LZTR1;
BHLHE40;;SIN3B;;;FAHD2B;FAM129B;;;;;;;MACF1;
THOC5;;SKI;;;NXPH2;TLR4;;;;;;;MAF;
KMO;;SLC12A5;;;SCN1A;ZNF189;;;;;;;MAG;
PDXK;;SLC1A1;;;SLC4A10;RPL35;;;;;;;MAN1B1;
MADD;;SLC1A2;;;KIAA1715;IL33;;;;;;;MAN2B1;
STK16;;SLC22A15;;;UBR3;POLR1E;;;;;;;MANBA;
RGS20;;SLC22A9;;;ANKMY1;TLN1;;;;;;;MAP2K1;
SLC25A12;;SLC23A1;;;FAM134A;RPS6;;;;;;;MAP2K2;
USO1;;SLC24A2;;;04-Mar;TLR2;;;;;;;MAPK1;
PDE8B;;SLC25A12;;;CNTN4;MGARP;;;;;;;MAPRE2;
CHRD;;SLC25A27;;;DYNC1LI1;FCHSD2;;;;;;;MARS2;
NCOA1;;SLC25A39;;;OSBPL10;SLCO2B1;;;;;;;MAST1;
NUMB;;SLC27A4;;;UBA3;LRRC32;;;;;;;MBD5;
B4GALT4;;SLC29A4;;;ABHD10;PRCP;;;;;;;MBTPS2;
B4GALT3;;SLC35B1;;;TAGLN3;TTPA;;;;;;;MCCC1;
B3GALT2;;SLC38A10;;;NCEH1;YAP1;;;;;;;MCCC2;
B3GALT1;;SLC45A1;;;STXBP5L;FXYD2;;;;;;;MCM3AP;
ABCC3;;SLC4A10;;;VWA5B2;CASP1;;;;;;;MCOLN1;
TNFRSF25;;SLC6A1;;;ANK2;SQRDL;;;;;;;MED12;
MBTPS1;;SLC6A3;;;CBR4;THBS1;;;;;;;MED12L;
SNX3;;SLC6A4;;;06-Mar;PLCB2;;;;;;;MED13L;
CTNNAL1;;SLC6A8;;;SRD5A1;BCAR3;;;;;;;MED23;
GPAA1;;SLC7A3;;;PIK3R1;RPL7P9;;;;;;;MED25;
